user_id,item_id,timestamp,interaction_type
U001,I007,2024-01-01 10:05:12,view
U003,I002,2024-01-01 10:22:01,start
U002,I014,2024-01-01 10:30:33,view
U004,I019,2024-01-01 11:12:44,complete
U005,I001,2024-01-01 11:25:09,view
U006,I008,2024-01-01 11:40:12,start
U007,I003,2024-01-01 12:01:03,view
U008,I012,2024-01-01 12:15:55,view
U009,I006,2024-01-01 12:30:21,start
U010,I004,2024-01-01 12:45:10,complete
U011,I015,2024-01-01 13:05:19,view
U012,I018,2024-01-01 13:18:40,view
U013,I023,2024-01-01 13:30:12,start
U014,I009,2024-01-01 13:49:02,view
U015,I020,2024-01-01 14:10:33,start
U016,I030,2024-01-01 14:22:01,view
U017,I011,2024-01-01 14:35:55,complete
U018,I017,2024-01-01 14:49:33,view
U019,I021,2024-01-01 15:01:17,start
U020,I012,2024-01-01 15:14:40,view
U021,I027,2024-01-01 15:29:11,view
U022,I002,2024-01-01 15:42:02,start
U023,I010,2024-01-01 15:55:10,complete
U024,I013,2024-01-01 16:05:40,view
U025,I024,2024-01-01 16:22:05,view
U026,I009,2024-01-01 16:30:14,complete
U027,I016,2024-01-01 16:45:44,start
U028,I007,2024-01-01 17:02:09,view
U029,I020,2024-01-01 17:18:34,start
U030,I004,2024-01-01 17:31:22,view
U031,I011,2024-01-01 17:49:51,start
U032,I025,2024-01-01 18:04:14,view
U033,I003,2024-01-01 18:21:09,view
U034,I015,2024-01-01 18:33:22,complete
U035,I022,2024-01-01 18:49:15,view
U036,I019,2024-01-01 19:02:28,start
U037,I027,2024-01-01 19:20:14,view
U038,I013,2024-01-01 19:32:45,start
U039,I014,2024-01-01 19:49:31,view
U040,I018,2024-01-01 20:02:55,view
U041,I028,2024-01-01 20:19:44,start
U042,I021,2024-01-01 20:32:01,complete
U043,I019,2024-01-01 20:48:12,view
U044,I012,2024-01-01 21:01:28,start
U045,I010,2024-01-01 21:14:52,view
U046,I006,2024-01-01 21:25:31,complete
U047,I003,2024-01-01 21:40:22,view
U048,I017,2024-01-01 21:55:40,start
U049,I005,2024-01-01 22:12:54,view
U050,I030,2024-01-01 22:28:33,view
U001,I014,2024-01-01 22:45:11,start
U002,I007,2024-01-01 23:01:55,view
U003,I022,2024-01-01 23:15:42,view
U004,I018,2024-01-01 23:30:29,view
U005,I009,2024-01-01 23:45:33,start
U006,I011,2024-01-02 00:02:11,view
U007,I005,2024-01-02 00:15:55,complete
U008,I004,2024-01-02 00:30:12,view
U009,I027,2024-01-02 00:44:28,start
U010,I021,2024-01-02 00:58:32,view
U011,I008,2024-01-02 01:15:42,start
U012,I030,2024-01-02 01:33:19,view
U013,I015,2024-01-02 01:49:01,view
U014,I002,2024-01-02 02:03:10,start
U015,I026,2024-01-02 02:16:39,view
U016,I025,2024-01-02 02:33:14,complete
U017,I020,2024-01-02 02:48:41,view
U018,I012,2024-01-02 03:02:55,start
U019,I007,2024-01-02 03:16:42,view
U020,I005,2024-01-02 03:33:19,complete
U021,I028,2024-01-02 03:48:09,start
U022,I016,2024-01-02 04:02:55,view
U023,I004,2024-01-02 04:16:33,view
U024,I013,2024-01-02 04:33:14,start
U025,I023,2024-01-02 04:48:21,complete
U026,I001,2024-01-02 05:01:12,view
